,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
0,17612,74.0,75.0,49,55,50,65,-1.0
1,74607,87.0,90.0,79,21,88,22,-1.0
2,111075,77.0,72.0,52,37,39,57,1.0
3,105155,72.0,72.0,50,58,25,48,1.0
4,100110,57.0,54.0,49,35,45,46,0.0
5,8272,59.0,52.0,33,40,37,52,1.0
6,33433,79.0,65.0,58,53,42,69,1.0
7,15456,73.0,92.0,30,52,68,21,-1.0
8,64938,78.0,88.0,54,33,58,53,0.0
9,99741,56.0,56.0,55,65,42,53,-1.0
10,58916,79.0,84.0,39,51,62,34,0.0
11,61899,84.0,95.0,38,47,63,35,0.0
12,85406,78.0,65.0,70,49,37,54,0.0
13,49757,48.0,58.0,44,52,43,32,1.0
14,103380,82.0,73.0,28,28,26,47,1.0
15,27520,68.0,63.0,42,52,35,61,0.0
16,12303,79.0,90.0,49,64,69,37,-1.0
17,63945,65.0,70.0,30,60,43,73,0.0
18,3716,67.0,67.0,62,31,70,52,1.0
19,117089,57.0,47.0,54,63,41,61,1.0
20,109546,92.0,73.0,72,24,48,45,1.0
21,51094,57.0,46.0,43,38,63,41,0.0
22,56724,74.0,84.0,47,58,54,59,-1.0
23,79619,74.0,85.0,56,66,49,50,-1.0
24,99914,55.0,55.0,55,56,57,41,-1.0
25,100553,60.0,60.0,49,63,50,52,-1.0
26,277,55.0,56.0,46,52,48,60,1.0
27,91205,59.0,57.0,38,26,40,63,1.0
28,58378,80.0,85.0,52,67,35,44,1.0
29,34909,78.0,81.0,43,27,55,32,0.0
30,94574,66.0,50.0,45,63,45,49,0.0
31,105097,84.0,72.0,55,39,25,48,0.0
32,29985,78.0,71.0,63,58,48,58,1.0
33,77484,74.0,82.0,30,70,53,49,-1.0
34,13400,93.0,81.0,62,37,53,48,-1.0
35,118152,61.0,51.0,47,48,90,55,-1.0
36,41607,79.0,79.0,40,44,39,45,1.0
37,4010,41.0,67.0,45,51,52,44,-1.0
38,2926,59.0,67.0,31,51,57,36,1.0
39,3336,61.0,48.0,62,32,39,58,1.0
40,85138,78.0,88.0,57,56,67,54,1.0
41,70965,83.0,69.0,53,20,54,44,1.0
42,1207,62.0,62.0,45,65,66,53,-1.0
43,115506,53.0,59.0,66,54,38,49,1.0
44,49966,48.0,54.0,44,52,34,42,1.0
45,89979,62.0,56.0,30,48,45,46,0.0
46,28391,65.0,77.0,36,74,62,53,0.0
47,55328,79.0,73.0,58,69,50,41,1.0
48,95139,69.0,58.0,54,54,41,40,1.0
49,3807,44.0,68.0,24,78,62,31,-1.0
50,69158,69.0,71.0,53,33,38,50,1.0
51,29058,87.0,85.0,77,32,73,34,0.0
52,100100,56.0,55.0,57,51,48,49,1.0
53,57395,86.0,84.0,65,37,80,39,1.0
54,64988,94.0,88.0,49,35,69,35,1.0
55,72465,87.0,74.0,45,21,39,28,1.0
56,30551,65.0,82.0,33,64,64,41,-1.0
57,45312,72.0,71.0,13,28,21,22,1.0
58,30261,91.0,70.0,75,25,54,54,1.0
59,88716,52.0,68.0,26,31,50,33,0.0
60,28677,72.0,87.0,45,63,67,37,-1.0
61,99739,53.0,55.0,55,83,48,42,-1.0
62,60242,82.0,93.0,51,62,85,42,0.0
63,37983,81.0,78.0,45,45,39,50,0.0
64,121440,44.0,51.0,34,42,40,56,0.0
65,2817,62.0,41.0,43,31,38,36,0.0
66,54550,59.0,61.0,34,49,41,43,1.0
67,109784,79.0,69.0,43,56,49,57,-1.0
68,120098,52.0,56.0,44,51,69,52,-1.0
69,72936,88.0,72.0,42,26,23,44,0.0
70,120874,54.0,63.0,47,70,55,61,1.0
71,84187,70.0,82.0,36,51,35,49,1.0
72,13108,81.0,77.0,54,59,39,46,-1.0
73,24368,57.0,51.0,55,48,68,58,0.0
74,82491,76.0,74.0,45,33,35,54,1.0
75,94849,50.0,54.0,49,45,46,54,1.0
76,112715,63.0,53.0,36,35,38,46,1.0
77,38849,80.0,74.0,41,36,23,48,0.0
78,15846,94.0,75.0,71,42,39,60,1.0
79,97406,60.0,55.0,55,53,37,62,1.0
80,43608,78.0,77.0,46,39,35,42,0.0
81,117385,45.0,57.0,43,74,40,41,-1.0
82,94567,47.0,49.0,46,56,29,40,0.0
83,93218,42.0,51.0,34,63,53,54,1.0
84,65641,70.0,75.0,37,80,45,70,1.0
85,55327,89.0,95.0,74,18,77,40,1.0
86,66548,95.0,72.0,85,33,38,58,1.0
87,108795,90.0,89.0,67,39,71,24,1.0
88,119300,59.0,51.0,65,43,46,48,0.0
89,87859,62.0,78.0,40,65,48,60,-1.0
90,24884,60.0,60.0,36,58,37,45,0.0
91,39764,89.0,81.0,52,35,47,42,1.0
92,37246,77.0,86.0,32,42,51,33,-1.0
93,77016,76.0,91.0,32,55,67,35,0.0
94,115669,54.0,60.0,66,54,59,41,-1.0
95,65453,76.0,70.0,45,70,40,68,0.0
96,110913,58.0,53.0,39,59,33,84,1.0
97,66229,59.0,82.0,34,69,51,48,-1.0
98,51558,61.0,66.0,48,28,51,53,1.0
