,index,link,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
0,0,https://www.besoccer.com/match/hull-city/huddersfield-town-fc/202213336,70,55,41,54,64,47,-1.0
1,1,https://www.besoccer.com/match/blackpool-fc/nottingham-forest-fc/202213332,39,57,54,58,73,40,-1.0
2,2,https://www.besoccer.com/match/afc-bournemouth/bristol-city-fc/202213329,67,53,74,39,62,77,1.0
3,3,https://www.besoccer.com/match/barnsley-fc/reading-fc/202213330,50,60,33,73,54,87,0.0
4,4,https://www.besoccer.com/match/cardiff-city-fc/swansea-city-afc/202213333,57,75,50,68,58,68,-1.0
5,5,https://www.besoccer.com/match/coventry-city/blackburn-rovers-fc/202213334,43,60,60,59,59,50,0.0
6,6,https://www.besoccer.com/match/derby-county-fc/preston-north-end/202213335,61,58,45,53,52,56,1.0
7,7,https://www.besoccer.com/match/luton-town-fc/millwall-fc/202213337,36,48,63,55,53,45,0.0
8,8,https://www.besoccer.com/match/peterborough-u/middlesbrough-fc/202213338,47,71,43,87,59,50,-1.0
9,9,https://www.besoccer.com/match/queens-park-rangers-fc/fulham/202213339,56,62,60,59,106,43,-1.0
10,10,https://www.besoccer.com/match/stoke-city/sheffield-united/202213340,78,51,57,52,63,45,1.0
11,11,https://www.besoccer.com/match/birmingham-city-fc/west-bromwich/202213331,58,75,50,75,52,45,1.0
12,12,https://www.besoccer.com/match/almere-city/excelsior/20222952,47,63,57,69,82,57,1.0
13,13,https://www.besoccer.com/match/nac-breda/jong-ajax/20222953,59,54,60,45,82,63,0.0
14,14,https://www.besoccer.com/match/graafschap/emmen/20222954,55,51,52,43,64,24,0.0
15,15,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/20222955,53,55,53,77,69,43,-1.0
16,16,https://www.besoccer.com/match/fc-volendam/fc-oss/20222956,58,45,81,53,48,62,-1.0
17,17,https://www.besoccer.com/match/helmond-sport/mvv/20222957,52,54,39,72,43,75,-1.0
18,18,https://www.besoccer.com/match/az-alkmaar-sub23/jong-psv/20222958,39,52,39,50,61,63,1.0
19,19,https://www.besoccer.com/match/roda-jc/jong-utrecht/20222959,65,51,77,50,43,67,1.0
20,20,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/20222960,46,54,47,74,42,61,-1.0
21,21,https://www.besoccer.com/match/vvv/ado-den-haag/20222961,60,68,50,64,76,53,-1.0
22,22,https://www.besoccer.com/match/gil-vicente/moreirense-fc/202235372,56,68,47,42,33,51,-1.0
23,23,https://www.besoccer.com/match/pacos-ferreira/maritimo/202235377,72,75,29,44,39,44,1.0
24,24,https://www.besoccer.com/match/benfica/cf-os-belenenses-ii/202235376,90,38,78,30,23,55,1.0
25,25,https://www.besoccer.com/match/boavista/arouca/202235380,62,68,39,52,30,54,1.0
26,26,https://www.besoccer.com/match/tondela/sporting-lisbon/202235367,59,87,41,67,73,23,-1.0
27,27,https://www.besoccer.com/match/portimonense/famalicao/202235374,58,54,31,45,45,51,1.0
28,28,https://www.besoccer.com/match/santa-clara/estoril/202235379,52,71,38,54,36,43,1.0
29,29,https://www.besoccer.com/match/vitoria-guimaraes/fc-porto/202235369,75,89,50,41,86,22,-1.0
30,30,https://www.besoccer.com/match/vizela/sporting-braga/202235370,51,83,37,58,52,31,-1.0
31,31,https://www.besoccer.com/match/lorient/saint-etienne/202216062,67,70,35,63,42,77,1.0
32,32,https://www.besoccer.com/match/stade-reims/stade-rennes/202216071,70,77,43,44,82,40,-1.0
33,33,https://www.besoccer.com/match/clermont-foot/paris-saint-germain-fc/202216057,60,95,38,69,90,36,-1.0
34,34,https://www.besoccer.com/match/bordeaux/metz/202216050,69,65,52,91,35,69,1.0
35,35,https://www.besoccer.com/match/angers-sco/lillestrom/202216049,69,79,44,55,48,48,0.0
36,36,https://www.besoccer.com/match/stade-brestois-29/nantes/202216053,64,74,49,57,55,48,0.0
37,37,https://www.besoccer.com/match/monaco/troyes/202216068,85,60,65,40,37,53,1.0
38,38,https://www.besoccer.com/match/lens/nice/202216060,67,71,62,48,52,36,1.0
39,39,https://www.besoccer.com/match/strasbourg/olympique-lyonnais/202216075,72,85,60,43,66,51,0.0
40,40,https://www.besoccer.com/match/olympique-marsella/montpellier-hsc/202216065,80,73,63,38,49,61,1.0
41,41,https://www.besoccer.com/match/lugo/cartagena/202221457,52,51,46,52,63,57,1.0
42,42,https://www.besoccer.com/match/real-sociedad-b/tenerife/202221467,51,58,43,61,53,37,-1.0
43,43,https://www.besoccer.com/match/ad-alcorcon/sporting-gijon/202221437,52,61,37,71,43,48,0.0
44,44,https://www.besoccer.com/match/malaga/valladolid/202221460,60,63,36,57,71,43,0.0
45,45,https://www.besoccer.com/match/ud-palmas/amorebieta/202221453,62,44,57,47,44,63,1.0
46,46,https://www.besoccer.com/match/fuenlabrada/huesca/202221443,53,58,39,65,49,44,-1.0
47,47,https://www.besoccer.com/match/real-zaragoza/girona-fc/202221471,58,65,39,46,57,42,1.0
48,48,https://www.besoccer.com/match/ibiza-eivissa/eibar/202221447,50,64,53,59,61,45,1.0
49,49,https://www.besoccer.com/match/mirandes/burgos-cf/202221462,54,51,58,62,41,41,1.0
50,50,https://www.besoccer.com/match/real-oviedo/leganes/202221464,57,61,57,41,50,51,1.0
51,51,https://www.besoccer.com/match/almeria/ponferradina-sd/202221439,69,53,68,35,57,55,1.0
52,52,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-ingolstadt-04/202216498,35,63,50,51,30,65,0.0
53,53,https://www.besoccer.com/match/fortuna-dusseldorf/hansa-rostock/202216497,53,43,45,42,41,52,1.0
54,54,https://www.besoccer.com/match/st-pauli/werder-bremen/202216490,54,75,61,46,65,43,0.0
55,55,https://www.besoccer.com/match/schalke-04/heidenheim/202216494,83,51,72,44,43,45,1.0
56,56,https://www.besoccer.com/match/fc-erzgebirge-aue/hannover-96/202216495,51,63,32,72,35,49,-1.0
57,57,https://www.besoccer.com/match/fc-nurnberg/darmstadt-98/202216493,61,61,49,49,71,46,1.0
58,58,https://www.besoccer.com/match/holstein-kiel/hamburger-sv/202216491,41,74,46,54,67,35,1.0
59,59,https://www.besoccer.com/match/paderborn/karlsruher-sc/202216492,42,55,56,44,54,55,0.0
60,60,https://www.besoccer.com/match/sv-sandhausen/sg-dynamo-dresden/202216496,48,50,42,54,33,46,1.0
61,61,https://www.besoccer.com/match/empoli-fc/asd-spezia/202249339,72,60,50,70,41,71,0.0
62,62,https://www.besoccer.com/match/internazionale/hellas-verona-fc/202249341,84,66,84,32,65,59,1.0
63,63,https://www.besoccer.com/match/cagliari/juventus-fc/202249338,73,95,34,68,57,37,-1.0
64,64,https://www.besoccer.com/match/genoa/lazio/202249340,74,84,27,60,77,58,-1.0
65,65,https://www.besoccer.com/match/napoli/fiorentina/202249342,89,85,74,31,59,51,-1.0
66,66,https://www.besoccer.com/match/us-sassuolo-calcio/atalanta/202249343,74,78,64,66,65,48,1.0
67,67,https://www.besoccer.com/match/venezia/udinese/202249345,39,75,34,69,61,58,-1.0
68,68,https://www.besoccer.com/match/roma/salernitana-calcio-1919/202249336,88,50,59,43,33,78,1.0
69,69,https://www.besoccer.com/match/torino-fc/milan/202249344,76,85,46,41,69,31,0.0
70,70,https://www.besoccer.com/match/bologna/sampdoria/202249337,72,74,44,55,46,63,1.0
71,71,https://www.besoccer.com/match/stuttgart/borussia-dortmund/202215795,65,94,41,59,85,52,-1.0
72,72,https://www.besoccer.com/match/greuther-furth/borussia-monchengla/202215798,59,84,28,82,54,61,-1.0
73,73,https://www.besoccer.com/match/1-fc-koln/mainz-amat/202215801,76,77,52,49,50,45,1.0
74,74,https://www.besoccer.com/match/bayern-munchen/fc-augsburg/202215802,95,74,97,37,39,56,1.0
75,75,https://www.besoccer.com/match/wolfsburg/arminia-bielefeld/202215803,85,55,43,54,27,53,1.0
76,76,https://www.besoccer.com/match/hertha-bsc/1-fc-union-berlin/202215797,75,54,37,71,50,44,-1.0
77,77,https://www.besoccer.com/match/bochum/bayer-leverkusen/202215796,59,87,38,52,80,47,0.0
